2048	15	1536
2048	15	1536
2048	15	1536
308	15	1536
308	15	1536
308	15	1536
28272	1178	64
2048	15	1536
308	15	1536
2048	15	6144
2048	61	1536
308	15	6144
308	61	1536
2048	15	1536
2048	15	1536
2048	15	1536
308	15	1536
308	15	1536
308	15	1536
28272	1178	64
2048	15	1536
308	15	1536
2048	15	6144
2048	61	1536
308	15	6144
308	61	1536
2048	15	1536
2048	15	1536
2048	15	1536
308	15	1536
308	15	1536
308	15	1536
28272	1178	64
2048	15	1536
308	15	1536
2048	15	6144
2048	61	1536
308	15	6144
308	61	1536
2048	15	1536
2048	15	1536
2048	15	1536
308	15	1536
308	15	1536
308	15	1536
28272	1178	64
2048	15	1536
308	15	1536
2048	15	6144
2048	61	1536
308	15	6144
308	61	1536
2048	15	1536
2048	15	1536
2048	15	1536
308	15	1536
308	15	1536
308	15	1536
28272	1178	64
2048	15	1536
308	15	1536
2048	15	6144
2048	61	1536
308	15	6144
308	61	1536
2048	15	1536
2048	15	1536
2048	15	1536
308	15	1536
308	15	1536
308	15	1536
28272	1178	64
2048	15	1536
308	15	1536
2048	15	6144
2048	61	1536
308	15	6144
308	61	1536
2048	15	1536
2048	15	1536
2048	15	1536
308	15	1536
308	15	1536
308	15	1536
28272	1178	64
2048	15	1536
308	15	1536
2048	15	6144
2048	61	1536
308	15	6144
308	61	1536
2048	15	1536
2048	15	1536
2048	15	1536
308	15	1536
308	15	1536
308	15	1536
28272	1178	64
2048	15	1536
308	15	1536
2048	15	6144
2048	61	1536
308	15	6144
308	61	1536
2048	15	1536
2048	15	1536
2048	15	1536
308	15	1536
308	15	1536
308	15	1536
28272	1178	64
2048	15	1536
308	15	1536
2048	15	6144
2048	61	1536
308	15	6144
308	61	1536
2048	15	1536
2048	15	1536
2048	15	1536
308	15	1536
308	15	1536
308	15	1536
28272	1178	64
2048	15	1536
308	15	1536
2048	15	6144
2048	61	1536
308	15	6144
308	61	1536
2048	15	1536
2048	15	1536
2048	15	1536
308	15	1536
308	15	1536
308	15	1536
28272	1178	64
2048	15	1536
308	15	1536
2048	15	6144
2048	61	1536
308	15	6144
308	61	1536
2048	15	1536
2048	15	1536
2048	15	1536
308	15	1536
308	15	1536
308	15	1536
28272	1178	64
2048	15	1536
308	15	1536
2048	15	6144
2048	61	1536
308	15	6144
308	61	1536
2048	15	1536
2048	15	1536
2048	15	1536
308	15	1536
308	15	1536
308	15	1536
28272	1178	64
2048	15	1536
308	15	1536
2048	15	6144
2048	61	1536
308	15	6144
308	61	1536
2048	15	1536
2048	15	1536
2048	15	1536
308	15	1536
308	15	1536
308	15	1536
28272	1178	64
2048	15	1536
308	15	1536
2048	15	6144
2048	61	1536
308	15	6144
308	61	1536
2048	15	1536
2048	15	1536
2048	15	1536
308	15	1536
308	15	1536
308	15	1536
28272	1178	64
2048	15	1536
308	15	1536
2048	15	6144
2048	61	1536
308	15	6144
308	61	1536
2048	15	1536
2048	15	1536
2048	15	1536
308	15	1536
308	15	1536
308	15	1536
28272	1178	64
2048	15	1536
308	15	1536
2048	15	6144
2048	61	1536
308	15	6144
308	61	1536
2048	15	1536
2048	15	1536
2048	15	1536
308	15	1536
308	15	1536
308	15	1536
28272	1178	64
2048	15	1536
308	15	1536
2048	15	6144
2048	61	1536
308	15	6144
308	61	1536
2048	15	1536
2048	15	1536
2048	15	1536
308	15	1536
308	15	1536
308	15	1536
28272	1178	64
2048	15	1536
308	15	1536
2048	15	6144
2048	61	1536
308	15	6144
308	61	1536
2048	15	1536
2048	15	1536
2048	15	1536
308	15	1536
308	15	1536
308	15	1536
28272	1178	64
2048	15	1536
308	15	1536
2048	15	6144
2048	61	1536
308	15	6144
308	61	1536
2048	15	1536
2048	15	1536
2048	15	1536
308	15	1536
308	15	1536
308	15	1536
28272	1178	64
2048	15	1536
308	15	1536
2048	15	6144
2048	61	1536
308	15	6144
308	61	1536
2048	15	1536
2048	15	1536
2048	15	1536
308	15	1536
308	15	1536
308	15	1536
28272	1178	64
2048	15	1536
308	15	1536
2048	15	6144
2048	61	1536
308	15	6144
308	61	1536
2048	15	1536
2048	15	1536
2048	15	1536
308	15	1536
308	15	1536
308	15	1536
28272	1178	64
2048	15	1536
308	15	1536
2048	15	6144
2048	61	1536
308	15	6144
308	61	1536
2048	15	1536
2048	15	1536
2048	15	1536
308	15	1536
308	15	1536
308	15	1536
28272	1178	64
2048	15	1536
308	15	1536
2048	15	6144
2048	61	1536
308	15	6144
308	61	1536
2048	15	1536
2048	15	1536
2048	15	1536
308	15	1536
308	15	1536
308	15	1536
28272	1178	64
2048	15	1536
308	15	1536
2048	15	6144
2048	61	1536
308	15	6144
308	61	1536
